"Title","Class","Show","Date","Lives at","ZM page","Video live","Transcript","Socials posted","Clips made","Needs publish","Notes"
"ZABAL GAMEZ Workshop w/AZKAL from FlowStage","produced","ZABAL Gamez Workshops","2026-06-28","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-28-building-flowstage-workshop/","YES","YES","NO","NO","NO",""
"ZABAL Gamez Fireside w/Luciano and fam","produced","ZABAL Gamez Firesides","2026-06-27","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-27-zabal-fireside-luciano/","YES","NO","NO","NO","NO",""
"Web3coc community vibes","live","X Spaces","2026-06-27","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-27-space-web3coc-community-vibes/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL GAMEZ Workshop w/James from Mental Wealth Academy","produced","ZABAL Gamez Workshops","2026-06-27","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-27-james-mental-wealth-academy-workshop/","YES","YES","NO","NO","NO",""
"Web3 COC ft wyoming decentralised exchange","live","X Spaces","2026-06-26","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-26-space-web3-coc-ft-wyoming-decentralised-exchange/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-06-25","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-25-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL GAMEZ Workshop w/Teresa Marrin Nakra from Stevens University","produced","ZABAL Gamez Workshops","2026-06-25","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-25-music-generative-ai-ableton-workshop/","YES","YES","NO","NO","NO",""
"Music x crypto connect sesh june 24th x BCZ strategies","live","X Spaces","2026-06-24","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-24-space-music-x-crypto-connect-sesh-june-24th-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL GAMEZ Workshop w/topocount from Neynar","produced","ZABAL Gamez Workshops","2026-06-23","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-23-snapchain-under-the-hood-workshop/","YES","YES","NO","NO","NO",""
"ZABAL GAMEZ Workshop w/Saltorious from Bankr","produced","ZABAL Gamez Workshops","2026-06-23","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-23-harness-and-joining-bankr-workshop/","YES","YES","NO","NO","NO",""
"ZABAL GAMEZ Workshop w/Dylan Yarter from BizarreBeasts","produced","ZABAL Gamez Workshops","2026-06-23","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-23-bizarre-pixel-studio-workshop/","YES","YES","NO","NO","NO",""
"ZABAL Gamez Fireside w/svvvg3.eth and katkartel.eth from Minted Merch","produced","ZABAL Gamez Firesides","2026-06-22","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-22-zabal-fireside-minted-merch/","YES","NO","NO","NO","NO",""
"ZABAL GAMEZ Workshop w/Nemesis","produced","ZABAL Gamez Workshops","2026-06-22","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-22-nemesis-creator-journey-workshop/","NO","YES","NO","NO","YES",""
"ZABAL GAMEZ Workshop w/Meta Mu from Rose City Web3","produced","ZABAL Gamez Workshops","2026-06-21","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-21-meta-mu-add-value-workshop/","YES","YES","NO","NO","NO",""
"Benefit battle part 2 WaveWarZ thezao COC","live","X Spaces","2026-06-20","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-20-space-benefit-battle-part-2-wavewarz-thezao-coc/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Benefit battle for polyraiders with the ZAO WaveWarZ COC","live","X Spaces","2026-06-20","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-20-space-benefit-battle-for-polyraiders-with-the-zao-wave/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL GAMEZ Workshop w/Ali Tiknazoglu","produced","ZABAL Gamez Workshops","2026-06-20","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-20-previbecoding-workshop/","YES","YES","NO","NO","NO",""
"ZABAL GAMEZ Workshop w/Dan Singjoy from Eden Fractal","produced","ZABAL Gamez Workshops","2026-06-20","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-20-dan-singjoy-eden-fractal-workshop/","YES","YES","NO","NO","NO",""
"Eden Fractal Origins - From Optimism to Base","produced","ZABAL Gamez Workshops","2026-06-20","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-20-dan-singjoy-eden-fractal-pt1-workshop/","NO","YES","NO","NO","YES",""
"ETH 81: The Growth of ZAO Fractal","earned","Eden Creators","2026-06-18","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-18-eden-creators-eth81-zao-fractal/","YES","NO","NO","NO","NO",""
"Music x crypto connect sesh june 17th x BCZ strategies","live","X Spaces","2026-06-17","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-17-space-music-x-crypto-connect-sesh-june-17th-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL GAMEZ Workshop w/diviflyy from Empire Builder","produced","ZABAL Gamez Workshops","2026-06-16","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-16-diviflyy-empire-builder-v3-api-workshop/","YES","YES","NO","NO","NO",""
"AI music tourney gauntlet stilo vs aporkalypse","live","X Spaces","2026-06-15","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-15-space-ai-music-tourney-gauntlet-stilo-vs-aporkalypse/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"POIDH: the open bounty protocol","produced","ZABAL Gamez Workshops","2026-06-15","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-15-kenny-poidh-workshop/","YES","YES","NO","NO","NO",""
"ZABAL GAMEZ Workshop w/Chris Dolinsky from Vini App","produced","ZABAL Gamez Workshops","2026-06-15","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-15-chris-dolinsky-vini-app-workshop/","YES","YES","NO","NO","NO",""
"COC Concertz #6","community","COC Concertz","2026-06-14","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-14-coc-concertz-6/","YES","NO","NO","NO","NO",""
"Non-Dev to Shipped: building Baraza Protocol with AI tools","produced","ZABAL Gamez Workshops","2026-06-14","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-14-aziz-motomoto-baraza-workshop/","YES","YES","NO","NO","NO",""
"Earn from music battles, not streams - WaveWarz (Hurricane Ike, ZABAL Gamez)","produced","ZABAL Gamez Workshops","2026-06-13","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-13-wavewarz-hurricane-workshop/","YES","YES","NO","NO","NO",""
"Cocconcertz the african experience ft iman afrikah santana ZABAL","live","X Spaces","2026-06-13","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-13-space-cocconcertz-the-african-experience-ft-iman-afrik/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL Gamez Fireside w/Rizzle from WIP","produced","ZABAL Gamez Firesides","2026-06-12","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-12-zabal-fireside-rizzle-wip/","YES","NO","NO","NO","NO",""
"Web3 COC ft dracattusdev talking dracattus tang talk more","live","X Spaces","2026-06-12","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-12-space-web3-coc-ft-dracattusdev-talking-dracattus-tang/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"The Farcaster protocol, ins and outs - Cassie (ZABAL Gamez)","produced","ZABAL Gamez Workshops","2026-06-12","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-12-cassie-farcaster-protocol-workshop/","YES","YES","NO","NO","NO",""
"MIDAO + Beta Briefing: legal entities for DAOs and AI agents","produced","ZABAL Gamez Workshops","2026-06-12","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-12-adam-miller-midao-workshop/","YES","YES","NO","NO","NO",""
"ZABAL Gamez Fireside w/bribe","produced","ZABAL Gamez Firesides","2026-06-11","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-11-zabal-fireside-bribe/","YES","NO","NO","NO","NO",""
"Building KFMEDIA","produced","ZABAL Gamez Workshops","2026-06-10","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-10-will-t-kfmedia-workshop/","YES","YES","NO","NO","NO",""
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-06-10","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-10-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-06-09","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-09-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh june 9th x BCZ strategies","live","X Spaces","2026-06-09","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-09-space-music-x-crypto-connect-sesh-june-9th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Owning your music as an independent artist","produced","ZABAL Gamez Workshops","2026-06-09","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-09-joseph-goats-digital-street-music-workshop/","YES","YES","NO","NO","NO",""
"AI music tourney q finals lui vs benny j","live","X Spaces","2026-06-08","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-08-space-ai-music-tourney-q-finals-lui-vs-benny-j/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Building Sopha, and why curation is needed","produced","ZABAL Gamez Workshops","2026-06-08","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-08-sopha-chris-building-curation-workshop/","YES","YES","NO","NO","NO",""
"ZABAL gamez fireside chat w plat0x from bonfires","live","X Spaces","2026-06-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-06-space-zabal-gamez-fireside-chat-w-plat0x-from-bonfires/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC community walk in cocconcertz walk in tap in ZABAL","live","X Spaces","2026-06-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-06-space-web3-coc-community-walk-in-cocconcertz-walk-in-t/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-06-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-06-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL Gamez Fireside - Bonfires + a vibe-coding masterclass (Carlos / Plat0x x Zaal)","produced","ZABAL Gamez Workshops","2026-06-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-06-bonfire-fireside-carlos-workshop/","NO","YES","NO","NO","NO","no video posted; the X Space IS the audio recording"
"Farcaster Batches Day 5 - builder showcase","community","Farcaster Batches","2026-06-05","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-05-farcaster-batches-day-5/","NO","YES","NO","NO","YES",""
"Music x crypto connect sesh june 4th x BCZ strategies","live","X Spaces","2026-06-04","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-04-space-music-x-crypto-connect-sesh-june-4th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Farcaster batches day 03 with the ZAO empire builder defense of the agents geroncology boostr celebration hub","live","X Spaces","2026-06-03","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-03-space-farcaster-batches-day-03-with-the-zao-empire-bui/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Farcaster Batches Day 3 - Zaal presents The ZAO and ZABAL Gamez","earned","Farcaster Batches","2026-06-03","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-03-farcaster-batches-day-3/","NO","YES","NO","NO","YES",""
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-06-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-02-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh june 2nd x BCZ strategies","live","X Spaces","2026-06-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-02-space-music-x-crypto-connect-sesh-june-2nd-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Starting and growing your own livestream - Ohnahji (ZABAL Gamez Day 2, creator track)","produced","ZABAL Gamez Workshops","2026-06-02","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-02-ohnahji-livestreaming-workshop/","YES","YES","NO","NO","NO",""
"Farcaster Batches Day 2 - Founder Check workshop","community","Farcaster Batches","2026-06-02","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-02-farcaster-batches-day-2/","NO","YES","NO","NO","YES",""
"ZAO Fractal Weekly Introduction Presentation","produced","ZABAL Gamez Workshops","2026-06-01","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-01-zao-fractal-zaal-workshop/","YES","YES","NO","NO","NO",""
"ZABAL Gamez Workshop 1 - yerbearserker on Empire Builder","produced","ZABAL Gamez Workshops","2026-06-01","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-01-yerbearserker-empire-builder-workshop/","YES","YES","NO","NO","NO",""
"ZABAL Gamez Workshop 1 (Part 2) - yerbearserker builds an Empire live","produced","ZABAL Gamez Workshops","2026-06-01","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-01-yerbearserker-empire-builder-part-2-workshop/","YES","YES","NO","NO","NO",""
"AI music tourney q finals r3plic4nt vs pokemon cto","live","X Spaces","2026-06-01","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-01-space-ai-music-tourney-q-finals-r3plic4nt-vs-pokemon-c/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Farcaster Batches Day 1 - builder showcase","community","Farcaster Batches","2026-06-01","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-01-farcaster-batches-day-1/","NO","YES","NO","NO","YES",""
"ZABAL Gamez Workshop 2 - Bonfire and the ZABAL Bonfire bot","produced","ZABAL Gamez Workshops","2026-06-01","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-06-01-bonfire-josh-plat0x-workshop/","YES","YES","NO","NO","NO",""
"Web3 COC community walk in come vibe with us","live","X Spaces","2026-05-30","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-30-space-web3-coc-community-walk-in-come-vibe-with-us/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-05-30","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-30-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh may 25th x BCZ strategies","live","X Spaces","2026-05-29","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-29-space-music-x-crypto-connect-sesh-may-25th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
